Net_YY,Customer,Solid,Stript,Check,1W_Match,2W_Match,LS,Plan_Cut_Qty,Repeat_x,Repeat_y,Avgÿ_Neck_Size,Double_Cuff,Marker_width,Dress,Sport
1.508138816,BB,1,0,0,0,1,1,2239,0,0,32.7,0,59.6,1.000,0.000
1.563451449,BB,1,0,0,0,1,1,1699,0,0,32.7,0,59.5,1.000,0.000
1.563451449,BB,1,0,0,0,1,1,1694,0,0,32.7,0,59.5,1.000,0.000
1.669468403,BB,0,0,1,1,0,1,2109,0.660000026,0.660000026,32.7,0,60.6,1.000,0.000
1.668547471,BB,0,0,1,1,0,1,2145,0.644999981,0.644999981,32.7,0,59.2,1.000,0.000
1.005486091,CIN,1,0,0,0,1,1,100,0,0,32.0,0,65.5,1.000,0.000
1.501744747,BB,1,0,0,0,1,1,224,0,0,32.8,0,60.0,1.000,0.000
1.338522434,CT,1,0,0,0,1,1,307,0,0,31.8,0,61.8,1.000,0.000
1.405855179,CT,1,0,0,0,1,1,445,0,0,32.1,0,61.5,1.000,0.000
1.825105508,CT,0,0,1,0,1,1,421,0.291999996,0.291999996,34.1,0,57.8,1.000,0.000
1.612335841,BB,1,0,0,0,1,1,853,0,0,32.6,0,54.9,1.000,0.000
1.574191888,CT,0,0,1,0,1,1,242,0.291999996,0.291999996,31.8,0,57.8,1.000,0.000
1.607646783,CT,0,0,1,1,0,1,193,0.294999987,0.300000012,31.9,0,57.8,1.000,0.000
1.491734982,CT,0,0,1,0,1,1,789,0.291999996,0.291999996,31.6,0,57.8,1.000,0.000
1.555220445,CT,1,0,0,0,1,1,1368,0,0,33.0,0,60.8,1.000,0.000
1.41402785,CT,1,0,0,0,1,1,276,0,0,30.6,0,60.8,1.000,0.000
1.371549447,CT,1,0,0,0,1,1,2814,0,0,31.1,0,60.4,1.000,0.000
1.369452635,CT,1,0,0,0,1,1,204,0,0,31.6,0,60.5,1.000,0.000
1.342876275,CT,1,0,0,0,1,1,186,0,0,30.1,0,60.8,1.000,0.000
